run_id;station_id;ptu_id;utb_id;start;duration;outcome_val;outcome_msg;mongo_id;year_week;year_month;order_id
1;0000BF86;1;1;2018-11-12 17:48:53;464;204;TxPowLevel Verif, ANT2_low Fail! at 866300000 Hz;5be9b0c6956c457306aae8d3;2018-46;2018-11;P4_U00001-01
2;0000BF87;2;1;2018-11-12 17:48:59;892;0;BS successfully configured calibrated and tested;5be9b278956c457306aae8e7;2018-46;2018-11;P4_U00001-01
3;0000BF81;2;1;2018-11-12 18:16:32;398;201;TxPowLevel Verif, poutDeltaMin Fail! at 922200000 Hz;5be9b6fe956c457306aae91e;2018-46;2018-11;P4_U00001-01
4;0000BF57;3;1;2018-11-12 18:33:23;800;0;BS successfully configured calibrated and tested;5be9bc83956c457306aae95f;2018-46;2018-11;P4_U00001-02
5;0000BF69;3;1;2018-11-12 18:50:07;732;0;BS successfully configured calibrated and tested;5be9c02b956c457306aae98a;2018-46;2018-11;P4_U00001-02
6;0000BF37;2;1;2018-11-12 19:13:08;206;201;TxPowLevel Verif, poutDeltaMin Fail! at 869525000 Hz;5be9c383956c457306aae9b3;2018-46;2018-11;P4_U00001-02
7;0000BF37;3;1;2018-11-12 19:17:34;613;0;BS successfully configured calibrated and tested;5be9c623956c457306aae9cb;2018-46;2018-11;P4_U00001-02
8;0000BF6E;2;1;2018-11-14 16:05:35;293;955;System Error: Failed to read board's qr code;5bec3ae5956c45665f383a0b;2018-46;2018-11;P4_U00001-02
9;0000BF4D;1;1;2018-11-14 16:18:27;810;0;BS successfully configured calibrated and tested;5bec3fee956c45665f383a49;2018-46;2018-11;P4_U00001-02
10;0000BF6C;4;1;2018-11-14 16:36:54;116;955;System Error: Failed to read board's qr code;5bec418a956c45665f383a66;2018-46;2018-11;P4_U00001-02
11;0000BF33;1;1;2018-11-14 17:18:31;843;0;BS successfully configured calibrated and tested;5bec4e22956c45665f383abb;2018-46;2018-11;P4_U00001-02
12;0000BF5D;2;1;2018-11-12 17:18:01;367;201;TxPowLevel Verif, poutDeltaMin Fail! at 869525000 Hz;5be9a928956c457306aae892;2018-46;2018-11;P4_U00001-01
13;0000BF84;1;1;2018-11-12 17:58:30;850;0;BS successfully configured calibrated and tested;5be9b489956c457306aae8fd;2018-46;2018-11;P4_U00001-01
14;0000BF81;2;1;2018-11-12 18:32:55;248;201;TxPowLevel Verif, poutDeltaMin Fail! at 922200000 Hz;5be9ba3f956c457306aae942;2018-46;2018-11;P4_U00001-02
15;0000BF14;2;1;2018-11-12 18:50:27;294;955;System Error: Failed to read board's qr code;5be9be89956c457306aae977;2018-46;2018-11;P4_U00001-02
16;0000BF3B;4;1;2018-11-12 18:50:49;664;0;BS successfully configured calibrated and tested;5be9c011956c457306aae987;2018-46;2018-11;P4_U00001-02
17;0000BF81;2;1;2018-11-12 19:10:35;115;955;System Error: Failed to read board's qr code;5be9c28f956c457306aae9a2;2018-46;2018-11;P4_U00001-02
18;0000BF14;4;1;2018-11-12 19:02:28;688;0;BS successfully configured calibrated and tested;5be9c2e5956c457306aae9aa;2018-46;2018-11;P4_U00001-02
19;0000BF26;5;1;2018-11-15 18:48:48;668;702;RX IQ imbalance verification issue at 868130000 Hz;5bedb41c956c45665f383e75;2018-46;2018-11;P4_U00001-02
20;0000BF70;2;1;2018-11-14 15:48:14;835;0;BS successfully configured calibrated and tested;5bec38f1956c45665f3839e7;2018-46;2018-11;P4_U00001-02
21;0000BF27;4;1;2018-11-14 15:49:45;835;0;BS successfully configured calibrated and tested;5bec394c956c45665f3839f0;2018-46;2018-11;P4_U00001-02
22;0000BF72;1;1;2018-11-14 16:05:32;725;0;BS successfully configured calibrated and tested;5bec3c91956c45665f383a16;2018-46;2018-11;P4_U00001-02
23;0000BF6C;4;1;2018-11-14 16:30:36;296;955;System Error: Failed to read board's qr code;5bec40c4956c45665f383a56;2018-46;2018-11;P4_U00001-02
24;0000BF6C;4;1;2018-11-14 17:18:18;116;955;System Error: Failed to read board's qr code;5bec4b3e956c45665f383aa5;2018-46;2018-11;P4_U00001-02
25;0000BF25;6;1;2018-11-15 18:48:27;842;0;BS successfully configured calibrated and tested;5bedb4b5956c45665f383e7c;2018-46;2018-11;P4_U00001-02
26;0000BF16;7;1;2018-11-15 19:09:29;312;955;System Error: Failed to read board's qr code;5bedb791956c45665f383ea7;2018-46;2018-11;P4_U00001-02
27;0000BF1E;8;1;2018-11-15 19:45:51;733;0;BS successfully configured calibrated and tested;5bedc1bc956c45665f383f1d;2018-46;2018-11;P4_U00001-02
28;0000BF8C;5;1;2018-11-15 20:26:13;854;0;BS successfully configured calibrated and tested;5bedcbab956c45665f383f78;2018-46;2018-11;P4_U00001-02
29;0000BF17;6;1;2018-11-15 20:46:58;738;0;BS successfully configured calibrated and tested;5bedd014956c45665f383faf;2018-46;2018-11;P4_U00001-02
30;0000BF8D;7;1;2018-11-15 21:03:53;799;0;BS successfully configured calibrated and tested;5bedd448956c45665f383fe0;2018-46;2018-11;P4_U00001-02
31;0000BF22;6;1;2018-11-15 21:24:19;849;0;BS successfully configured calibrated and tested;5bedd945956c45665f384017;2018-46;2018-11;P4_U00001-02
32;0000BF30;5;1;2018-11-15 21:39:31;620;702;RX IQ imbalance verification issue at 868130000 Hz;5beddbef956c45665f38403e;2018-46;2018-11;P4_U00001-02
33;0000BF4C;8;1;2018-11-15 21:51:43;797;0;BS successfully configured calibrated and tested;5beddf7c956c45665f384058;2018-46;2018-11;P4_U00001-02
34;0000BF46;7;1;2018-11-15 18:53:45;844;0;BS successfully configured calibrated and tested;5bedb5f5956c45665f383e8b;2018-46;2018-11;P4_U00001-02
35;0000BF8B;5;1;2018-11-15 19:01:23;731;0;BS successfully configured calibrated and tested;5bedb74e956c45665f383e9e;2018-46;2018-11;P4_U00001-02
36;0000BF1D;5;1;2018-11-15 19:18:41;710;0;BS successfully configured calibrated and tested;5bedbb48956c45665f383ed9;2018-46;2018-11;P4_U00001-02
37;0000BF7F;7;1;2018-11-15 19:41:22;826;0;BS successfully configured calibrated and tested;5bedc10c956c45665f383f16;2018-46;2018-11;P4_U00001-02
38;0000BF4B;8;1;2018-11-15 20:22:44;719;0;BS successfully configured calibrated and tested;5bedca54956c45665f383f71;2018-46;2018-11;P4_U00001-02
39;0000BF1B;8;1;2018-11-15 20:46:56;650;702;RX IQ imbalance verification issue at 868130000 Hz;5bedcfbb956c45665f383faa;2018-46;2018-11;P4_U00001-02
40;0000BF61;5;1;2018-11-15 20:46:59;815;0;BS successfully configured calibrated and tested;5bedd063956c45665f383fb4;2018-46;2018-11;P4_U00001-02
41;0000BF77;8;1;2018-11-15 20:59:46;734;0;BS successfully configured calibrated and tested;5bedd311956c45665f383fd7;2018-46;2018-11;P4_U00001-02
42;0000BF38;6;1;2018-11-15 21:09:23;730;0;BS successfully configured calibrated and tested;5bedd54d956c45665f383fe7;2018-46;2018-11;P4_U00001-02
43;0000BF48;6;1;2018-11-15 21:39:19;317;955;System Error: Failed to read board's qr code;5beddab4956c45665f384028;2018-46;2018-11;P4_U00001-02
44;0000BF48;6;1;2018-11-15 21:49:04;533;0;BS successfully configured calibrated and tested;5bedddd6956c45665f38404d;2018-46;2018-11;P4_U00001-02
45;0000BF65;5;1;2018-11-23 10:37:38;593;0;BS successfully configured calibrated and tested;5bf7ccb4956c45665f384495;2018-47;2018-11;P4_U00001-02
46;0000BF56;6;1;2018-11-23 10:50:27;828;0;BS successfully configured calibrated and tested;5bf7d09f956c45665f3844ca;2018-47;2018-11;P4_U00001-02
47;0000BF44;8;1;2018-11-23 11:02:00;822;0;BS successfully configured calibrated and tested;5bf7d34f956c45665f3844e8;2018-47;2018-11;P4_U00001-02
48;0000BF4E;7;1;2018-11-23 10:37:03;593;0;BS successfully configured calibrated and tested;5bf7cc90956c45665f38448f;2018-47;2018-11;P4_U00001-02
49;0000BF68;7;1;2018-11-23 10:50:03;733;0;BS successfully configured calibrated and tested;5bf7d028956c45665f3844be;2018-47;2018-11;P4_U00001-02
50;0000BF63;7;1;2018-11-23 11:04:59;739;0;BS successfully configured calibrated and tested;5bf7d3ae956c45665f3844ef;2018-47;2018-11;P4_U00001-02
51;0000BF3A;6;1;2018-11-23 11:05:25;730;0;BS successfully configured calibrated and tested;5bf7d3bf956c45665f3844f5;2018-47;2018-11;P4_U00001-02
52;0000BF83;8;1;2018-11-23 11:18:01;807;0;BS successfully configured calibrated and tested;5bf7d700956c45665f38451e;2018-47;2018-11;P4_U00001-02
53;0000BF8A;5;1;2018-11-23 11:33:48;721;0;BS successfully configured calibrated and tested;5bf7da5d956c45665f384561;2018-47;2018-11;P4_U00001-02
54;0000BF29;5;1;2018-11-23 11:47:41;828;0;BS successfully configured calibrated and tested;5bf7de09956c45665f384596;2018-47;2018-11;P4_U00001-02
55;0000BF7B;8;1;2018-11-23 12:13:24;734;0;BS successfully configured calibrated and tested;5bf7e3b2956c45665f3845d9;2018-47;2018-11;P4_U00001-02
56;0000BF31;7;1;2018-11-23 12:37:03;300;955;System Error: Failed to read board's qr code;5bf7e78c956c45665f38460a;2018-47;2018-11;P4_U00001-02
57;0000BF43;7;1;2018-11-23 11:18:27;728;0;BS successfully configured calibrated and tested;5bf7d6cc956c45665f384517;2018-47;2018-11;P4_U00001-02
58;0000BF2D;7;1;2018-11-23 11:43:32;528;994;System Error: Bad response code on request radio/preamp?id=1 , http code: -1;5bf7dbe5956c45665f384577;2018-47;2018-11;P4_U00001-02
59;0000BF32;7;1;2018-11-23 12:00:09;847;0;BS successfully configured calibrated and tested;5bf7e109956c45665f3845b2;2018-47;2018-11;P4_U00001-02
60;0000BF7C;7;1;2018-11-23 12:22:15;814;0;BS successfully configured calibrated and tested;5bf7e615956c45665f3845f3;2018-47;2018-11;P4_U00001-02
61;0000BF54;8;1;2018-11-23 12:28:13;806;0;BS successfully configured calibrated and tested;5bf7e773956c45665f384607;2018-47;2018-11;P4_U00001-02
62;0000BF5A;7;1;2018-11-23 12:42:46;335;205;TxPowLevel Verif, very low signal received ! at 869525000 Hz;5bf7e906956c45665f384620;2018-47;2018-11;P4_U00001-02
63;0000BF64;8;1;2018-11-23 12:58:12;738;0;BS successfully configured calibrated and tested;5bf7ee36956c45665f384667;2018-47;2018-11;P4_U00001-02
64;0000BF5A;6;1;2018-11-23 13:18:57;673;0;BS successfully configured calibrated and tested;5bf7f2d3956c45665f384696;2018-47;2018-11;P4_U00001-02
65;0000BF20;6;1;2018-11-26 18:48:39;678;0;BS successfully configured calibrated and tested;5bfc349d956c45665f384765;2018-48;2018-11;P4_U00001-03
66;0000BF23;7;1;2018-11-26 19:19:46;587;0;BS successfully configured calibrated and tested;5bfc3b8e956c45665f3847a4;2018-48;2018-11;P4_U00001-03
67;0000BF31;6;1;2018-11-23 12:42:55;562;0;BS successfully configured calibrated and tested;5bf7e9f1956c45665f384635;2018-47;2018-11;P4_U00001-02
68;0000BF66;7;1;2018-11-23 12:49:10;370;205;TxPowLevel Verif, very low signal received ! at 869525000 Hz;5bf7eaa8956c45665f384643;2018-47;2018-11;P4_U00001-02
69;0000BF52;5;1;2018-11-23 13:05:35;725;0;BS successfully configured calibrated and tested;5bf7efe5956c45665f38467a;2018-47;2018-11;P4_U00001-02
70;0000BF30;5;1;2018-11-26 18:48:47;606;0;BS successfully configured calibrated and tested;5bfc345e956c45665f38475d;2018-48;2018-11;P4_U00001-03
71;0000BF1B;8;1;2018-11-26 18:59:59;669;0;BS successfully configured calibrated and tested;5bfc373c956c45665f384780;2018-48;2018-11;P4_U00001-03
