station_id;hardware;board_id
0000BF86;TAPMV4.0;77SL3800150
0000BF87;TAPMV4.0;77SL3800149
0000BF81;TAPMV4.0;77SL3800155
0000BF57;TAPMV4.0;77SL3800295
0000BF69;TAPMV4.0;77SL3800115
0000BF37;TAPMV4.0;77SL3800348
0000EB12;TAPMV4.0;77SL4901877
0000BF4D;TAPMV4.0;77SL3800291
0000BF33;TAPMV4.0;77SL3800334
0000BF5D;TAPMV4.0;77SL3800141
0000BF84;TAPMV4.0;77SL3800152
0000BF3B;TAPMV4.0;77SL3800109
0000BF26;TAPMV4.0;77SL3800322
0000BF70;TAPMV4.0;77SL3800279
0000BF27;TAPMV4.0;77SL3800319
0000BF72;TAPMV4.0;77SL3800277
0000BF25;TAPMV4.0;77SL3800323
0000BF1E;TAPMV4.0;77SL3800317
0000BF8C;TAPMV4.0;77SL3800168
0000BF17;TAPMV4.0;77SL3800313
0000BF8D;TAPMV4.0;77SL3800167
0000BF22;TAPMV4.0;77SL3800326
0000BF30;TAPMV4.0;77SL3800337
0000BF4C;TAPMV4.0;77SL3800318
0000BF46;TAPMV4.0;77SL3800302
0000BF8B;TAPMV4.0;77SL3800145
0000BF1D;TAPMV4.0;77SL3800331
0000BF7F;TAPMV4.0;77SL3800133
0000BF4B;TAPMV4.0;77SL3800297
0000BF1B;TAPMV4.0;77SL3800309
0000BF61;TAPMV4.0;77SL3800121
0000BF77;TAPMV4.0;77SL3800261
0000BF38;TAPMV4.0;77SL3800347
0000BF48;TAPMV4.0;77SL3800300
0000BF65;TAPMV4.0;77SL3800111
0000BF56;TAPMV4.0;77SL3800294
0000BF44;TAPMV4.0;77SL3800304
0000BF4E;TAPMV4.0;77SL3800290
0000BF68;TAPMV4.0;77SL3800114
0000BF63;TAPMV4.0;77SL3800123
0000BF3A;TAPMV4.0;77SL3800130
0000BF83;TAPMV4.0;77SL3800153
0000BF8A;TAPMV4.0;77SL3800146
0000BF29;TAPMV4.0;77SL3800344
0000BF7B;TAPMV4.0;77SL3800293
0000BF43;TAPMV4.0;77SL3800305
0000BF2D;TAPMV4.0;77SL3800340
0000BF32;TAPMV4.0;77SL3800335
0000BF7C;TAPMV4.0;77SL3800136
0000BF54;TAPMV4.0;77SL3800286
0000BF5A;TAPMV4.0;77SL3800138
0000BF64;TAPMV4.0;77SL3800110
0000BF20;TAPMV4.0;77SL3800328
0000BF23;TAPMV4.0;77SL3800325
0000BF31;TAPMV4.0;77SL3800336
