verification_id;run_id;type;name;stop_if_fail;max_retries
1;1;TX;IQ_imbalance;f;0
2;1;TX;LO_leakage;t;0
3;1;TX;power_level;t;0
4;1;RX;IQ_imbalance;f;3
5;2;TX;IQ_imbalance;f;0
6;2;TX;LO_leakage;t;0
7;2;TX;power_level;t;0
8;2;RX;IQ_imbalance;f;3
9;3;TX;IQ_imbalance;f;0
10;3;TX;LO_leakage;t;0
11;3;TX;power_level;t;0
12;3;RX;IQ_imbalance;f;3
13;4;TX;IQ_imbalance;f;0
14;4;TX;LO_leakage;t;0
15;4;TX;power_level;t;0
16;4;RX;IQ_imbalance;f;3
17;5;TX;IQ_imbalance;f;0
18;5;TX;LO_leakage;t;0
19;5;TX;power_level;t;0
20;5;RX;IQ_imbalance;f;3
21;6;TX;IQ_imbalance;f;0
22;6;TX;LO_leakage;t;0
23;6;TX;power_level;t;0
24;6;RX;IQ_imbalance;f;3
25;7;TX;IQ_imbalance;f;0
26;7;TX;LO_leakage;t;0
27;7;TX;power_level;t;0
28;7;RX;IQ_imbalance;f;3
29;8;RX;IQ_imbalance;f;3
30;8;TX;LO_leakage;t;0
31;8;TX;power_level;t;0
32;8;TX;IQ_imbalance;f;0
33;9;RX;IQ_imbalance;f;3
34;9;TX;LO_leakage;t;0
35;9;TX;power_level;t;0
36;9;TX;IQ_imbalance;f;0
37;10;RX;IQ_imbalance;f;3
38;10;TX;LO_leakage;t;0
39;10;TX;power_level;t;0
40;10;TX;IQ_imbalance;f;0
41;11;RX;IQ_imbalance;f;3
42;11;TX;LO_leakage;t;0
43;11;TX;power_level;t;0
44;11;TX;IQ_imbalance;f;0
45;12;TX;IQ_imbalance;f;0
46;12;TX;LO_leakage;t;0
47;12;TX;power_level;t;0
48;12;RX;IQ_imbalance;f;3
49;13;TX;IQ_imbalance;f;0
50;13;TX;LO_leakage;t;0
51;13;TX;power_level;t;0
52;13;RX;IQ_imbalance;f;3
53;14;TX;IQ_imbalance;f;0
54;14;TX;LO_leakage;t;0
55;14;TX;power_level;t;0
56;14;RX;IQ_imbalance;f;3
57;15;TX;IQ_imbalance;f;0
58;15;TX;LO_leakage;t;0
59;15;TX;power_level;t;0
60;15;RX;IQ_imbalance;f;3
61;16;TX;IQ_imbalance;f;0
62;16;TX;LO_leakage;t;0
63;16;TX;power_level;t;0
64;16;RX;IQ_imbalance;f;3
65;17;TX;IQ_imbalance;f;0
66;17;TX;LO_leakage;t;0
67;17;TX;power_level;t;0
68;17;RX;IQ_imbalance;f;3
69;18;TX;IQ_imbalance;f;0
70;18;TX;LO_leakage;t;0
71;18;TX;power_level;t;0
72;18;RX;IQ_imbalance;f;3
73;19;RX;IQ_imbalance;f;3
74;19;TX;LO_leakage;t;0
75;19;TX;power_level;t;0
76;19;TX;IQ_imbalance;f;0
77;20;RX;IQ_imbalance;f;3
78;20;TX;LO_leakage;t;0
79;20;TX;power_level;t;0
80;20;TX;IQ_imbalance;f;0
81;21;RX;IQ_imbalance;f;3
82;21;TX;LO_leakage;t;0
83;21;TX;power_level;t;0
84;21;TX;IQ_imbalance;f;0
85;22;RX;IQ_imbalance;f;3
86;22;TX;LO_leakage;t;0
87;22;TX;power_level;t;0
88;22;TX;IQ_imbalance;f;0
89;23;RX;IQ_imbalance;f;3
90;23;TX;LO_leakage;t;0
91;23;TX;power_level;t;0
92;23;TX;IQ_imbalance;f;0
93;24;RX;IQ_imbalance;f;3
94;24;TX;LO_leakage;t;0
95;24;TX;power_level;t;0
96;24;TX;IQ_imbalance;f;0
97;25;RX;IQ_imbalance;f;3
98;25;TX;LO_leakage;t;0
99;25;TX;power_level;t;0
100;25;TX;IQ_imbalance;f;0
101;26;RX;IQ_imbalance;f;3
102;26;TX;LO_leakage;t;0
103;26;TX;power_level;t;0
104;26;TX;IQ_imbalance;f;0
105;27;RX;IQ_imbalance;f;3
106;27;TX;LO_leakage;t;0
107;27;TX;power_level;t;0
108;27;TX;IQ_imbalance;f;0
109;28;RX;IQ_imbalance;f;3
110;28;TX;LO_leakage;t;0
111;28;TX;power_level;t;0
112;28;TX;IQ_imbalance;f;0
